Authority,Name,Method,URL
ASWS,Australian Space Weather Services,git,https://github.com/hpde/ASWS
CCMC,Community Coordinated Modeling Center,git,https://github.com/hpde/CCMC
CFA,The Center for Astrophysics of Harvard & Smithsonian,git,https://github.com/hpde/CFA
CNES,Centre National d'Etudes Spatiales,git,https://github.com/hpde/CNES
CSA,Canadian Space Agency,git,https://github.com/hpde/CSA
CSSDP,Canadian Space Science Data Portal,git,https://github.com/hpde/CSSDP
DLR,Deutsches Zentrum für Luft- und Raumfahrt,git,https://github.com/hpde/DLR
DOD,Department of Defense,git,https://github.com/hpde/DOD
ESA,European Space Agency,git,https://github.com/hpde/ESA
FMI,Finnish Meteorlogical Institute,git,https://github.com/hpde/FMI
GBO,Ground Based Observatories,git,https://github.com/hpde/GBO
GMU,George Mason University,git,https://github.com/hpde/GMU
GONG,Global Oscillation Network Group,git,https://github.com/hpde/GONG
INAF,Istituto Nazionale Di Astrofisica,git,https://github.com/hpde/INAF
INSU,Institut national des sciences de l'Univers,git,https://github.com/hpde/INSU
IRF,Swedish institute for space physics,git,https://github.com/hpde/IRF
ISWI,International Space Weather Initiative,git,https://github.com/hpde/ISWI
IUGONET,Inter-university Upper atmosphere Global Observation NETwork,git,https://github.com/hpde/IUGONET
JAXA,Japan Aerospace Exploration Agency,git,https://github.com/hpde/JAXA
KASI,Korean Astronomy and Space Science Institute,git,https://github.com/hpde/KASI
KSB-ROB,Royal Observatory of Belgium,git,https://github.com/hpde/KSB-ROB
NASA,National Aeronautics and Space Administration,git, https://github.com/hpde/NASA
NOAA,National Oceanic and Atmospheric Administration,git,https://github.com/hpde/NOAA
NSF,National Science Foundation,git,https://github.com/hpde/NSF
NagoyaU,Nagoya University,git,https://github.com/hpde/NagoyaU
SMWG,SPASE Metadata Working Group,git,https://github.com/hpde/SMWG
UOULU,University of Oulu,git,https://github.com/hpde/UOULU
